"dayRow","date","site","id","five_star","four_star","three_star","two_star","one_star","total","average"
"2",2025-09-29 10:06:18.266443,"Cleveland Clinic","WcqmF6lr7O8uTxxSKBabq28Jr1DbuX",481,91,28,14,91,705,4.21560283687943
"3",2025-09-29 10:06:18.266443,"MyMountSinai","S1WHxgqJVIaVfKhLf77FcPvT5pRTNC",2339,174,71,51,185,2820,4.57127659574468
"4",2025-09-29 10:06:18.266443,"MyChart","DxPw7oOloZQZ6wDrgVGi1lRqlKo2HU",187358,19739,7804,5391,13706,233998,4.54553457721861
"5",2025-09-29 10:06:18.266443,"Johns Hopkins Medicine","rJM9MuA3pnFig4WLgS0p9QMXzohcYj",8,1,0,0,3,12,3.91666666666667
"6",2025-09-29 10:06:18.266443,"Penn Medicine","J2MJKkRRcMLndTQyB8tdxL64YFYsYf",897,70,20,10,20,1017,4.78367748279253
"7",2025-09-29 10:06:18.266443,"Cedars-Sinai","TqMX9IGuzyVUnfbcBZie34EwucIBLd",1566,228,99,59,238,2190,4.28995433789954
"8",2025-09-29 10:06:18.266443,"Houston Methodist","OFsibosQkA7nmXCfzhMAsML010YpEI",1070,90,10,30,40,1240,4.70967741935484
"9",2025-09-29 10:06:18.266443,"NYU Langone Health","rlqTaUEPmOjLEJEzvZnNm9jQh64WeJ",4302,467,109,89,258,5225,4.62028708133971
"10",2025-09-29 10:06:18.266443,"Stanford Health Care","ujogxf3hr9Te68sJsXEBtFk1cGQxDy",1893,272,80,10,181,2436,4.51313628899836
"11",2025-09-29 10:06:18.266443,"Northwestern Medicine","G9Fki4a4XFFvr5dNM7Vqxmsp8CtvTc",592,150,120,321,1064,2247,2.50378282153983
"12",2025-09-29 10:06:18.266443,"New York - Presbyterian","1TXEjar2BFuK8iDLJu7rfiBLlAmJAb",426,47,18,11,115,617,4.06645056726094
"13",2025-09-29 10:06:18.266443,"Rush University Medical Center","IN8P2RYo9CsaRaNzihZnnCgXyf0lNE",2641,430,60,20,90,3241,4.70070965751311
"14",2025-09-29 10:06:18.266443,"University of Michigan Health","xQO8Ea5yiotNR4L1wPKpUFgFqDPukJ",882,89,29,9,79,1088,4.54963235294118
"15",2025-09-29 10:06:18.266443,"Mass General Brigham, Inc","RaempzLbMbPEeeyOvEOE781v7zkVNn",1685,280,70,40,60,2135,4.63466042154567
"16",2025-09-29 10:06:18.266443,"Vanderbilt University Medical Center","DYpSwJeMZGOvMdFZ2ktlsmAGnMYnAD",1834,119,29,19,129,2130,4.64788732394366
"17",2025-09-29 10:06:18.266443,"Kaiser Permanente","IlOYviChDK5o6UgHXXOUSyNdII6YHy",104224,12652,3471,1465,4620,126432,4.66409611490762
"18",2025-09-29 10:06:18.266443,"Primary Care On Demand Wis.","r5opdx9FqxbpoyuOHBsqG6CbbZh9bX",216,41,5,2,29,293,4.40955631399317
"1",2025-09-30 10:06:29.62355,"Mayo Clinic","mPudhyJ10p4vStN7MkS9Jlw47vvI8O",5817,1137,1024,632,2777,11387,3.57829103363485
"2",2025-09-30 10:06:29.62355,"Cleveland Clinic","ezBCKgH85zew5X4KHzBRMwEUmXOZRi",481,91,28,14,91,705,4.21560283687943
"3",2025-09-30 10:06:29.62355,"MyMountSinai","NFR6e4yCKIo9IuJXaGLErAUKJRPl3f",2339,174,71,51,185,2820,4.57127659574468
"4",2025-09-30 10:06:29.62355,"MyChart","fKJcqPoaagDoDRSLfCmd5QryWFpL5X",187490,19708,7790,5373,13705,234066,4.5461664658686
"5",2025-09-30 10:06:29.62355,"Johns Hopkins Medicine","SIt2egSgn5In4WDDD2QJbgkBvWo149",8,1,0,0,3,12,3.91666666666667
"6",2025-09-30 10:06:29.62355,"Penn Medicine","Q3Ds5FoE4Z1818ra51UiDAiUUsxAnS",897,70,20,10,20,1017,4.78367748279253
"7",2025-09-30 10:06:29.62355,"Cedars-Sinai","1ZYkt0gMZVFeP6pp2j92DiOJvTnXs4",1566,228,99,59,238,2190,4.28995433789954
"8",2025-09-30 10:06:29.62355,"Houston Methodist","EV7C1QJA2ZJrQdA1z06DImMlh9c1AB",1070,90,10,30,40,1240,4.70967741935484
"9",2025-09-30 10:06:29.62355,"NYU Langone Health","i3cp8RHu4lNWZIhGkaKfupcV1Ac31x",4297,470,110,90,260,5227,4.61737134111345
"10",2025-09-30 10:06:29.62355,"Stanford Health Care","KZ0wdolCnpfRwiYreQG3RbtbzLOTv3",1893,272,80,10,181,2436,4.51313628899836
"11",2025-09-30 10:06:29.62355,"Northwestern Medicine","Uj0U3g3KtOqTq0jfj4mH0nrjfRNOBj",593,150,110,331,1064,2248,2.50044483985765
"12",2025-09-30 10:06:29.62355,"New York - Presbyterian","4VZxPleOQyDiPgiUavVX9ZNwyQzoQH",426,47,18,11,115,617,4.06645056726094
"13",2025-09-30 10:06:29.62355,"Rush University Medical Center","t8nvEsuIYNBbgb2mZGX7wTHoe1UX5b",2639,436,59,19,89,3242,4.70172732880938
"14",2025-09-30 10:06:29.62355,"University of Michigan Health","EB3pTv5yrhBqwyjreAVXpcUX38Nk1F",882,89,29,9,79,1088,4.54963235294118
"15",2025-09-30 10:06:29.62355,"Mass General Brigham, Inc","5qMChyyfaUHFVFwUIjxuoZGDepWF3M",1685,280,70,40,60,2135,4.63466042154567
"16",2025-09-30 10:06:29.62355,"Vanderbilt University Medical Center","oiEiHmDPfzMGGSvXP7LiwPOYJ2qdjR",1834,120,30,20,130,2134,4.64386129334583
"17",2025-09-30 10:06:29.62355,"Kaiser Permanente","JWb6ZhRTZ5G0ljD3ycKVw2ZNiAHaJX",104274,12694,3475,1458,4598,126499,4.66474043273069
"18",2025-09-30 10:06:29.62355,"Primary Care On Demand Wis.","g1xd8GVS96qSyKWJUKcNrkeiWDfaXn",217,41,5,2,29,294,4.41156462585034
"1",2025-10-01 11:28:35.060956,"Mayo Clinic","St6Wy4kCy1jPnu0M14Tck2wPsDhsGQ",5826,1135,1022,632,2772,11387,3.58057433915869
"2",2025-10-01 11:28:35.060956,"Cleveland Clinic","VK7WUmlqqE7HQH0I7dE17LRfXp2DV3",481,91,28,14,91,705,4.21560283687943
"3",2025-10-01 11:28:35.060956,"MyMountSinai","aljq4SCN45nFZgM7zv4qBWaU797exG",2354,164,71,51,185,2825,4.57557522123894
"4",2025-10-01 11:28:35.060956,"MyChart","0YuaxWgzRc5pbwIhmRxS7qj50Khjk5",187549,19757,7816,5394,13731,234247,4.54537304639974
"5",2025-10-01 11:28:35.060956,"Johns Hopkins Medicine","G8kEJ1Tfoy4lhcSO04UtzmltwHBRcu",8,1,0,0,3,12,3.91666666666667
"6",2025-10-01 11:28:35.060956,"Penn Medicine","cWaMilPcNP794yG0ZeUgPioLltpuRT",887,80,20,10,20,1017,4.77384464110128
"7",2025-10-01 11:28:35.060956,"Cedars-Sinai","lHpaGMOrVPkDWs9829ujuIYZPHKfze",1566,228,99,59,238,2190,4.28995433789954
"8",2025-10-01 11:28:35.060956,"Houston Methodist","4rq0wkR2k7OCsa4N2lxVXzuiGnV6ZH",1070,90,10,30,40,1240,4.70967741935484
"9",2025-10-01 11:28:35.060956,"NYU Langone Health","UuxCnYvreH5jmCzIzqu6h5ZwnVpoVb",4312,459,109,89,259,5228,4.6212700841622
"10",2025-10-01 11:28:35.060956,"Stanford Health Care","ld020FM49J1s40EUzCiGvoOiEooNpe",1886,282,79,9,180,2436,4.51272577996716
"11",2025-10-01 11:28:35.060956,"Northwestern Medicine","JNAxuWCzLiMeg89KoMElvX4RXorWxo",611,150,110,330,1051,2252,2.52930728241563
"12",2025-10-01 11:28:35.060956,"New York - Presbyterian","i9BT7Wnp2M8oQFTOGm6tsMTseX16UX",426,47,18,11,115,617,4.06645056726094
"13",2025-10-01 11:28:35.060956,"Rush University Medical Center","ob9iwDKnlfkwemqw7Lv4m9NSV5JE4r",2636,439,59,19,89,3242,4.70080197409007
"14",2025-10-01 11:28:35.060956,"University of Michigan Health","xlJ0AsIzQQC6LOnVojJBuD9REmT69N",882,89,29,9,79,1088,4.54963235294118
"15",2025-10-01 11:28:35.060956,"Mass General Brigham, Inc","pNlhCUswjYiGlPFMsQWFKBuaCTK3s3",1687,280,70,40,60,2137,4.63500233972859
"16",2025-10-01 11:28:35.060956,"Vanderbilt University Medical Center","oDEJATxMu1yNca9YKRhXXPrvMZtOGW",1834,120,30,20,130,2134,4.64386129334583
"17",2025-10-01 11:28:35.060956,"Kaiser Permanente","GrilDrrFaf8kP9Mn40ZvSy7Lo4IUZo",104406,12736,3512,1450,4532,126636,4.66646135380145
"18",2025-10-01 11:28:35.060956,"Primary Care On Demand Wis.","w3UJfji5851ABglcjRhmAedUzuoVar",215,41,5,2,32,295,4.3728813559322
"1",2025-10-03 19:21:46.813989,"Mayo Clinic","obW4EQ8eX6GWnMdn2uKacVLwePUbky",5837,1133,1021,631,2769,11391,3.58274076024932
"2",2025-10-03 19:21:46.813989,"Cleveland Clinic","2LRLzJnxaRhfBadTZqGcSOKwyaAtBY",481,91,28,14,91,705,4.21560283687943
"3",2025-10-03 19:21:46.813989,"MyMountSinai","gODX3Jz7QMXK3sgWZ6jvij47PDOENj",2355,164,71,41,195,2826,4.57218683651805
"4",2025-10-03 19:21:46.813989,"MyChart","coRMrD9DMnL6guanDuKIW79bc79rxi",187913,19824,7849,5487,13626,234699,4.54628268548226
"5",2025-10-03 19:21:46.813989,"Johns Hopkins Medicine","t2gFdJBoLfgcWq1DBUHD03vClRhkhG",8,1,0,0,3,12,3.91666666666667
"6",2025-10-03 19:21:46.813989,"Penn Medicine","lgZm5mI3myekgOS8YnvYds8vQ36b2w",880,90,20,10,20,1020,4.76470588235294
"7",2025-10-03 19:21:46.813989,"Cedars-Sinai","JqJDsKcLG00WoqgN6nIN0lVscq0ZPS",1574,220,100,60,240,2194,4.28896991795807
"8",2025-10-03 19:21:46.813989,"Houston Methodist","yvJ8DqNg85AvKscmKqaTtj7cwY5jkU",1071,90,10,30,40,1241,4.709911361805
"9",2025-10-03 19:21:46.813989,"NYU Langone Health","5aTgoOw3po6Z63H1rGQdb5on46vL5c",4343,458,89,89,259,5238,4.62982054219168
"10",2025-10-03 19:21:46.813989,"Stanford Health Care","25KayqS0oZ8gwasiKpk4bWdacfsD0p",1884,283,80,10,181,2438,4.5090237899918
"11",2025-10-03 19:21:46.813989,"Northwestern Medicine","kgDUMQtONfbBvDBhkBokmZN5PMxFOB",621,150,110,320,1051,2252,2.54262877442274
"12",2025-10-03 19:21:46.813989,"New York - Presbyterian","h9Zc6SvGLE1vSBQJ6XMDBOgTdjWpiu",426,47,18,11,115,617,4.06645056726094
"13",2025-10-03 19:21:46.813989,"University of Michigan Health","EtsyYDCiOgYHxBloTA4rYcHoPv76e9",873,100,30,10,80,1093,4.53339432753888
"14",2025-10-03 19:21:46.813989,"Mass General Brigham, Inc","NMvBjuM8rDX1VxUnWl2EMkbiuVRfSH",1678,280,70,40,70,2138,4.61646398503274
"15",2025-10-03 19:21:46.813989,"Vanderbilt University Medical Center","UcuGV4hh7a1sAgLv5fhyrJcnEt0HTf",1828,119,39,19,129,2134,4.63917525773196
"16",2025-10-03 19:21:46.813989,"Kaiser Permanente","rfLtwKivenIInQMsAi7zksaRqQEfGw",104780,12693,3461,1478,4541,126953,4.66749111876049
"17",2025-10-03 19:21:46.813989,"Primary Care On Demand Wis.","QLiiGCOIeArBxZlI6mewpcpOhZ4hR4",221,38,5,2,32,298,4.38926174496644
