"dayRow","date","site","id","five_star","four_star","three_star","two_star","one_star","total","average"
"5",2025-09-25 10:06:21.382956,"Johns Hopkins Medicine","wUKq0i0ZQiZz4QvWtiWdwEftTkfO9L",8,1,0,0,3,12,3.91666666666667
"6",2025-09-25 10:06:21.382956,"Penn Medicine","rKSSqCXxJp41TCm9DOreExUbslpRwA",886,69,19,19,19,1012,4.76284584980237
"7",2025-09-25 10:06:21.382956,"Cedars-Sinai","CBWSby7nypolhGKXy7vrXbbPQdcJLc",1569,230,100,60,230,2189,4.30105070808588
"8",2025-09-25 10:06:21.382956,"Houston Methodist","SUCLmiHjtuviqrmZEH3ddrmJMABdb6",1067,90,10,30,40,1237,4.70897332255457
"9",2025-09-25 10:06:21.382956,"NYU Langone Health","M33mqk2xN173hin8xfHmTH6tGvXZEa",4329,458,109,79,239,5214,4.6415420023015
"10",2025-09-25 10:06:21.382956,"Stanford Health Care","pPfJP2aYZJoUSrRDScVm7kxJnTxtrU",1901,272,80,10,171,2434,4.5291700903862
"11",2025-09-25 10:06:21.382956,"Northwestern Medicine","yHJhpFxvQPn6VkWuJq4D6IJC7M5QHj",592,150,120,321,1064,2247,2.50378282153983
"12",2025-09-25 10:06:21.382956,"New York - Presbyterian","qvJVjY9kQpM6dZ4tGayODbDBXhQfaH",426,47,18,11,115,617,4.06645056726094
"13",2025-09-25 10:06:21.382956,"Rush University Medical Center","tSFoqugxUBzyHH1vmEG28u8TnMhBt5",2617,429,59,19,99,3223,4.68973006515669
"14",2025-09-25 10:06:21.382956,"University of Michigan Health","A6mUppBimkPUCoIY58aCqgeQfMsAxs",892,88,29,0,78,1087,4.57865685372585
"15",2025-09-25 10:06:21.382956,"Mass General Brigham, Inc","svqdNAZk5AyfE5aKv6JctmrMRQL87f",1694,270,70,40,60,2134,4.63917525773196
"16",2025-09-25 10:06:21.382956,"Vanderbilt University Medical Center","WLDHz4Xw4ErAu4B3wwFD24LYkHOodL",1818,120,30,20,140,2128,4.62406015037594
"17",2025-09-25 10:06:21.382956,"Kaiser Permanente","xIC1znEUKVd7O6mKcNXCMIP71MAUHa",103886,12543,3520,1466,4651,126066,4.66220075198705
"18",2025-09-25 10:06:21.382956,"Primary Care On Demand Wis.","yrhM6cj9zTWQm1RwdLxQo6VdfAwsSd",213,40,5,5,26,289,4.41522491349481
"1",2025-09-26 10:06:05.790557,"Mayo Clinic","Fym8iyBjyhJwHh8kKc63uxLHyfqFmB",5808,1152,1022,632,2772,11386,3.57895661338486
"2",2025-09-26 10:06:05.790557,"Cleveland Clinic","YsHfHAXLnZgHxriNPrX6sONEavuaBT",481,91,28,14,91,705,4.21560283687943
"3",2025-09-26 10:06:05.790557,"MyMountSinai","e40xiTTKvfHO5beOsdABRt3B9rx7OY",2326,174,71,61,184,2816,4.56143465909091
"4",2025-09-26 10:06:05.790557,"MyChart","XrRcRQbDp2fjvcY47a4re0yBsPPb9X",187110,19797,7781,5331,13611,233630,4.54716431965073
"5",2025-09-26 10:06:05.790557,"Johns Hopkins Medicine","O3k13JLZyfr5NFR7kzjQPHEfaXaFj8",8,1,0,0,3,12,3.91666666666667
"6",2025-09-26 10:06:05.790557,"Penn Medicine","AyjyEdcrYIrk2PMbTzEBQOxWagc6ZR",886,69,19,19,19,1012,4.76284584980237
"7",2025-09-26 10:06:05.790557,"Cedars-Sinai","YJ2T6SSHKNKrKG939vgnuqFPZrLUgQ",1573,229,99,59,229,2189,4.30561900411147
"8",2025-09-26 10:06:05.790557,"Houston Methodist","nMvHJOenmpCB8jJTFJihp6QXRuYlXs",1067,90,10,30,40,1237,4.70897332255457
"9",2025-09-26 10:06:05.790557,"NYU Langone Health","gXQy6RRgdP1PjouTlwcI6fQs9KUBH7",4330,459,109,79,239,5216,4.64148773006135
"10",2025-09-26 10:06:05.790557,"Stanford Health Care","Kjhb5m9HCVomFCukKEEuJnDhB1KrCS",1894,271,79,9,180,2433,4.51664611590629
"11",2025-09-26 10:06:05.790557,"Northwestern Medicine","i135GqsqKNnKVnbX1RlyGh5HM6FKKC",592,150,120,321,1064,2247,2.50378282153983
"12",2025-09-26 10:06:05.790557,"New York - Presbyterian","ZJohwrJmreRoJIGe19lV5nVxGWCbLQ",426,47,18,11,115,617,4.06645056726094
"13",2025-09-26 10:06:05.790557,"Rush University Medical Center","xdu3XVG96ut9yVfRydXRHmdkPzkXQi",2632,420,60,20,100,3232,4.69059405940594
"14",2025-09-26 10:06:05.790557,"University of Michigan Health","U49mRop4YLByuLBJMhLXFyvVGZfOj6",882,89,29,9,79,1088,4.54963235294118
"15",2025-09-26 10:06:05.790557,"Mass General Brigham, Inc","UUBP7qQqFuVy204b6oY0uv4Y84B1BR",1685,280,70,40,60,2135,4.63466042154567
"16",2025-09-26 10:06:05.790557,"Vanderbilt University Medical Center","lWwCRtcRhm6hLDMZ9qdtUNaaji7bXv",1821,120,30,20,140,2131,4.6245893946504
"17",2025-09-26 10:06:05.790557,"Kaiser Permanente","YHyD4KB2Q6K0zDO976DaG8dMOSbOyc",104005,12524,3511,1471,4658,126169,4.66242896432563
"18",2025-09-26 10:06:05.790557,"Primary Care On Demand Wis.","qGtaFXS0soj9V1vj6rzvIz8NttYj7Z",215,41,5,2,29,292,4.40753424657534
"1",2025-09-27 10:05:27.47952,"Mayo Clinic","LMMXUQ7LZEUgJolNjabZs6ghFyTt2P",5808,1152,1022,632,2772,11386,3.57895661338486
"2",2025-09-27 10:05:27.47952,"Cleveland Clinic","pQChWDkBEHm6wghMUu4c00YdiUeWTe",481,91,28,14,91,705,4.21560283687943
"3",2025-09-27 10:05:27.47952,"MyMountSinai","MpXEC0kDzxWIFWVK6nii37YMOm8ZSs",2329,173,70,60,183,2815,4.56483126110124
"4",2025-09-27 10:05:27.47952,"MyChart","bwttRp6eDQA0dD5JaDAi9qgizP4yJG",187286,19751,7811,5336,13603,233787,4.54748125430413
"5",2025-09-27 10:05:27.47952,"Johns Hopkins Medicine","U7lcgyUwTKMVUw602V8PWS6cLNygl3",8,1,0,0,3,12,3.91666666666667
"6",2025-09-27 10:05:27.47952,"Penn Medicine","E2hDYdEuXitNsII5eadJUVuHMDcMft",896,70,20,10,20,1016,4.78346456692913
"7",2025-09-27 10:05:27.47952,"Cedars-Sinai","pJCfKPisp8B4JJx2J5tPq7xqUCbuvD",1566,228,99,59,238,2190,4.28995433789954
"8",2025-09-27 10:05:27.47952,"Houston Methodist","EwirAByMvc9b2ZcFUC0eNsAnDN0Gcd",1067,90,10,30,40,1237,4.70897332255457
"9",2025-09-27 10:05:27.47952,"NYU Langone Health","qHU3JTS1ZRgkNgmJ5pGfrmkBQ1BZGU",4325,459,109,79,249,5221,4.63416969929132
"10",2025-09-27 10:05:27.47952,"Stanford Health Care","0ExfIOsDpAd5x8C1ANOEZVr4kExs5I",1894,271,79,9,180,2433,4.51664611590629
"11",2025-09-27 10:05:27.47952,"Northwestern Medicine","E9DXY3bTb8XDsEcT0AQFf2ahwbUgER",592,150,120,321,1064,2247,2.50378282153983
"12",2025-09-27 10:05:27.47952,"New York - Presbyterian","oiVl4IUdzDC42Mr77yWXImOLMIp57j",426,47,18,11,115,617,4.06645056726094
"13",2025-09-27 10:05:27.47952,"Rush University Medical Center","o39sfqNElnRpVMFUjDpK4htZnBUgBR",2630,426,59,19,99,3233,4.69161769254562
